id_estacion,lat,lon
27,-34.599068,-58.3900887
151,-34.61129829312854,-58.3591384429222
111,-34.6054877,-58.3646858
285,-34.6172122,-58.3561752
171,-34.6032813,-58.3997553
39,-34.6092213,-58.3876925
121,-34.6011732,-58.4285093
69,-34.5961006,-58.4046092
21,-34.640111,-58.406432
4,-34.6030082348981,-58.36885646243477
8,-34.6094218,-58.3893364
88,-34.612575,-58.404356
30,-34.5908211,-58.3973698
165,-34.597048,-58.407614
130,-34.5917376,-58.37436403
15,-34.6004,-58.3636706
2,-34.59242413,-58.37470988999999
40,-34.604461,-58.373499
149,-34.6153266,-58.38136419999999
124,-34.58111437500588,-58.41262482341766
48,-34.6236397,-58.3632448
205,-34.583323,-58.428016
73,-34.6306814,-58.3718235
51,-34.6014776,-58.3821261
135,-34.5976425,-58.378363
57,-34.61324972988651,-58.37064512890549
403,-34.6446835804428,-58.39387590287583
427,-34.648402,-58.51364480000001
262,-34.6097088334705,-58.46729693359809
26,-34.600752,-58.3638723
295,-34.624802,-58.437683
76,-34.6074084,-58.39505479999999
268,-34.5503,-58.477
163,-34.6095663,-58.4064308
193,-34.5908626,-58.4061652
64,-34.5936508,-58.3941087
281,-34.613778,-58.458315
269,-34.577329,-58.45779900000001
150,-34.6187547,-58.3554654
366,-34.6352784,-58.48253270000001
161,-34.6020779,-58.4196761
66,-34.5945475,-58.4138713
280,-34.633528,-58.44937899999999
162,-34.608985,-58.401924
172,-34.625426,-58.371082
3,-34.61220714255728,-58.369129063789
89,-34.5825475,-58.4056671
106,-34.6152509,-58.3958827
82,-34.6078917,-58.4263947
79,-34.61189,-58.36393000000001
377,-34.607333,-58.422987
70,-34.5926862,-58.4260597
94,-34.591511,-58.44965199999999
92,-34.6316444,-58.4053386
264,-34.5559308,-58.4812325
44,-34.5755148,-58.4138829
289,-34.559801,-58.44831400000001
167,-34.606984,-58.44854
33,-34.5970909,-58.3989807
12,-34.5927096,-58.388807
197,-34.620998,-58.493044
290,-34.6186003,-58.4456027
361,-34.569187,-58.453608
384,-34.57951881156862,-58.46183473148808
413,-34.66181712635796,-58.50133009838903
226,-34.633335,-58.4132263
261,-34.616151,-58.440584
99,-34.5960961,-58.43540800000001
300,-34.5436888,-58.4771259
358,-34.56031055981906,-58.46364346441801
120,-34.617509,-58.409287600000006
444,-34.608936,-58.37071600000001
287,-34.6103343,-58.4409183
286,-34.6304712,-58.4551112
449,-34.62883578,-58.463297377
379,-34.5602,-58.4281
181,-34.5926649,-58.412007200000005
333,-34.6008,-58.50335
305,-34.612684,-58.44487
380,-34.6060382,-58.46481
283,-34.6355054,-58.456035
322,-34.551304,-58.454181
248,-34.573522,-58.474635
126,-34.63922546953217,-58.36958898591382
409,-34.65687,-58.416201
429,-34.63897407331851,-58.51010241799405
47,-34.6117408,-58.3733149
353,-34.599036,-58.36469499999999
5,-34.5805497,-58.4209542
41,-34.6371232,-58.40588830000001
19,-34.5956027,-58.3776353
65,-34.5873124,-58.4157873
316,-34.605567,-58.453475
