id_estacion,lat,lon,barrio,barrio
392,-34.554581,-58.485381,SAAVEDRA,SAAVEDRA
196,-34.6277671,-58.36602490000001,BOCA,BOCA
310,-34.67948324169569,-58.47424852254684,VILLA LUGANO,VILLA LUGANO
182,-34.5780479,-58.435246600000006,PALERMO,PALERMO
202,-34.583749,-58.390602,RECOLETA,RECOLETA
152,-34.6181645,-58.3596311,PUERTO MADERO,PUERTO MADERO
132,-34.6033685,-58.372763,SAN NICOLAS,SAN NICOLAS
149,-34.6153266,-58.38136419999999,MONSERRAT,MONSERRAT
120,-34.617509,-58.409287600000006,BALVANERA,BALVANERA
146,-34.6221118,-58.40784190000001,SAN CRISTOBAL,SAN CRISTOBAL
223,-34.6234,-58.424853,BOEDO,BOEDO
458,-34.63642574842393,-58.44400690036917,PARQUE CHACABUCO,PARQUE CHACABUCO
262,-34.6097088334705,-58.46729693359809,VILLA GRAL. MITRE,VILLA GRAL. MITRE
403,-34.6446835804428,-58.39387590287583,BARRACAS,BARRACAS
21,-34.640111,-58.406432,PARQUE PATRICIOS,PARQUE PATRICIOS
433,-34.637697,-58.373726000000005,BARRACAS,BARRACAS
25,-34.5894269,-58.4161178,PALERMO,PALERMO
215,-34.585878,-58.42499599999999,PALERMO,PALERMO
33,-34.5970909,-58.3989807,RECOLETA,RECOLETA
32,-34.60674458045258,-58.37365550287733,SAN NICOLAS,SAN NICOLAS
126,-34.63922546953217,-58.36958898591382,BARRACAS,BARRACAS
190,-34.5850763,-58.4111136,PALERMO,PALERMO
164,-34.617301,-58.3698984,SAN TELMO,SAN TELMO
27,-34.599068,-58.3900887,RECOLETA,RECOLETA
239,-34.56533652,-58.42062076,PALERMO,PALERMO
263,-34.622003,-58.457555,FLORES,FLORES
118,-34.6170196,-58.4026531,BALVANERA,BALVANERA
83,-34.603269,-58.3893728,SAN NICOLAS,SAN NICOLAS
478,-34.572056,-58.44752359999998,COLEGIALES,COLEGIALES
171,-34.6032813,-58.3997553,BALVANERA,BALVANERA
156,-34.5775895,-58.407469600000006,PALERMO,PALERMO
38,-34.5970497,-58.382840300000005,RETIRO,RETIRO
236,-34.562161,-58.455166000000006,BELGRANO,BELGRANO
367,-34.616659000738366,-58.47770598650817,VILLA SANTA RITA,VILLA SANTA RITA
472,-34.5751286,-58.45275609999999,COLEGIALES,COLEGIALES
181,-34.5926649,-58.412007200000005,RECOLETA,RECOLETA
43,-34.584018,-58.38992100000001,RECOLETA,RECOLETA
168,-34.6186217,-58.3812271,CONSTITUCION,CONSTITUCION
393,-34.5902732694463,-58.4669322018588,VILLA ORTUZAR,VILLA ORTUZAR
59,-34.617654,-58.380565,CONSTITUCION,CONSTITUCION
91,-34.6174482,-58.397602,BALVANERA,BALVANERA
