ID_usuario,edad_usuario,año_alta,mes_alta,dia_alta,hora_alta_h,hora_alta_m,hora_alta_s,genero_FEMALE,genero_MALE,genero_OTHER
735944,29,2020,12,31,20,19,4,1,0,0
735892,44,2020,12,31,11,24,4,0,1,0
735873,39,2020,12,31,9,28,27,0,1,0
735876,37,2020,12,31,9,49,30,0,1,0
735952,29,2020,12,31,21,7,4,0,0,1
735941,29,2020,12,31,19,37,59,1,0,0
735893,44,2020,12,31,11,44,33,0,1,0
735911,29,2020,12,31,14,42,56,1,0,0
735905,26,2020,12,31,13,58,7,0,1,0
735898,32,2020,12,31,12,23,50,0,1,0
735909,31,2020,12,31,14,30,26,0,1,0
735900,20,2020,12,31,12,42,34,1,0,0
735895,26,2020,12,31,12,7,41,0,1,0
735956,31,2020,12,31,21,21,24,1,0,0
735960,21,2020,12,31,22,14,36,0,1,0
735940,29,2020,12,31,19,37,24,1,0,0
735862,32,2020,12,31,1,25,20,0,1,0
735913,35,2020,12,31,14,59,57,1,0,0
735955,44,2020,12,31,21,19,29,1,0,0
735879,66,2020,12,31,10,4,30,0,1,0
735912,28,2020,12,31,14,50,28,1,0,0
735949,28,2020,12,31,20,44,13,0,1,0
735877,42,2020,12,31,10,2,50,0,1,0
735896,32,2020,12,31,12,16,34,0,0,1
735871,56,2020,12,31,9,4,17,0,1,0
735953,69,2020,12,31,21,7,30,1,0,0
735922,54,2020,12,31,16,56,59,1,0,0
735861,46,2020,12,31,1,8,25,0,0,1
735931,51,2020,12,31,17,57,22,1,0,0
735917,53,2020,12,31,15,43,10,0,0,1
735969,28,2020,12,31,23,30,31,1,0,0
735870,29,2020,12,31,8,56,20,1,0,0
735966,50,2020,12,31,23,21,47,1,0,0
735959,28,2020,12,31,21,57,11,0,1,0
735942,35,2020,12,31,19,40,13,0,1,0
735939,33,2020,12,31,19,18,5,1,0,0
735947,23,2020,12,31,20,29,30,1,0,0
735899,55,2020,12,31,12,29,3,0,1,0
735928,54,2020,12,31,17,37,9,0,0,1
735948,43,2020,12,31,20,35,14,1,0,0
735971,51,2020,12,31,23,55,51,0,1,0
735963,28,2020,12,31,22,43,37,0,1,0
735964,54,2020,12,31,22,56,27,1,0,0
735889,27,2020,12,31,10,56,32,0,1,0
735906,21,2020,12,31,14,7,14,1,0,0
735946,25,2020,12,31,20,27,35,1,0,0
735908,66,2020,12,31,14,18,54,1,0,0
735878,33,2020,12,31,10,2,56,1,0,0
735914,37,2020,12,31,15,3,1,0,0,1
735874,44,2020,12,31,9,38,16,0,1,0
735957,32,2020,12,31,21,31,6,0,1,0
735858,61,2020,12,31,0,46,21,0,0,1
735926,38,2020,12,31,17,31,7,0,1,0
735910,31,2020,12,31,14,41,26,0,1,0
735882,28,2020,12,31,10,34,53,1,0,0
735925,52,2020,12,31,17,24,19,0,1,0
735932,63,2020,12,31,18,0,17,1,0,0
735938,57,2020,12,31,18,54,35,0,1,0
735935,42,2020,12,31,18,20,40,1,0,0
735872,36,2020,12,31,9,25,10,0,1,0
735907,40,2020,12,31,14,16,29,0,1,0
735904,37,2020,12,31,13,57,37,1,0,0
735915,52,2020,12,31,15,15,30,0,1,0
735886,37,2020,12,31,10,50,35,1,0,0
735921,29,2020,12,31,16,56,5,0,1,0
735950,55,2020,12,31,20,46,29,0,1,0
735933,28,2020,12,31,18,7,44,0,1,0
735863,22,2020,12,31,3,14,5,1,0,0
735958,29,2020,12,31,21,33,7,1,0,0
735961,23,2020,12,31,22,20,55,1,0,0
735857,32,2020,12,31,0,37,29,1,0,0
735885,59,2020,12,31,10,49,32,0,1,0
735887,27,2020,12,31,10,52,39,0,1,0
735888,27,2020,12,31,10,56,25,0,1,0
735967,23,2020,12,31,23,25,34,0,1,0
735951,21,2020,12,31,20,59,41,0,1,0
735880,39,2020,12,31,10,7,55,1,0,0
735901,26,2020,12,31,12,47,18,1,0,0
735881,57,2020,12,31,10,26,21,1,0,0
735897,26,2020,12,31,12,19,12,1,0,0
735927,44,2020,12,31,17,32,11,0,1,0
735860,42,2020,12,31,1,4,8,0,1,0
735894,28,2020,12,31,11,51,23,1,0,0
735968,50,2020,12,31,23,26,27,0,1,0
735916,55,2020,12,31,15,42,57,1,0,0
735920,56,2020,12,31,16,54,22,0,1,0
735965,28,2020,12,31,23,7,26,0,1,0
735865,41,2020,12,31,7,7,50,1,0,0
735875,35,2020,12,31,9,40,20,1,0,0
735943,21,2020,12,31,19,55,53,1,0,0
735859,51,2020,12,31,0,49,50,0,1,0
735866,35,2020,12,31,7,21,9,1,0,0
735962,21,2020,12,31,22,27,45,0,1,0
735945,38,2020,12,31,20,24,48,0,1,0
735884,36,2020,12,31,10,46,28,1,0,0
735902,29,2020,12,31,13,25,10,1,0,0
735919,23,2020,12,31,15,46,20,1,0,0
735930,46,2020,12,31,17,57,17,1,0,0
735929,59,2020,12,31,17,52,21,1,0,0
735937,31,2020,12,31,18,42,11,0,1,0
735934,31,2020,12,31,18,13,38,1,0,0
735970,79,2020,12,31,23,49,4,0,1,0
735868,26,2020,12,31,7,22,16,0,0,1
735855,21,2020,12,31,0,1,25,1,0,0
735869,28,2020,12,31,8,56,11,1,0,0
735918,20,2020,12,31,15,44,47,1,0,0
735924,28,2020,12,31,17,15,20,1,0,0
735890,57,2020,12,31,10,59,13,1,0,0
735891,27,2020,12,31,11,10,29,0,1,0
735936,21,2020,12,31,18,26,32,0,1,0
735903,21,2020,12,31,13,56,46,0,1,0
735883,28,2020,12,31,10,37,50,1,0,0
735954,48,2020,12,31,21,9,36,1,0,0
735864,45,2020,12,31,6,27,38,0,1,0
735856,41,2020,12,31,0,5,6,1,0,0
735923,52,2020,12,31,17,5,51,0,1,0
735720,46,2020,12,30,1,28,50,0,1,0
735715,22,2020,12,30,0,26,44,1,0,0
735727,25,2020,12,30,7,1,0,0,1,0
735774,46,2020,12,30,15,19,52,0,1,0
735793,20,2020,12,30,17,23,16,1,0,0
735772,44,2020,12,30,15,13,43,1,0,0
735717,34,2020,12,30,0,37,51,1,0,0
735746,31,2020,12,30,12,1,7,1,0,0
735719,22,2020,12,30,1,24,35,0,1,0
735826,30,2020,12,30,19,16,51,0,1,0
735796,26,2020,12,30,17,32,6,1,0,0
735718,29,2020,12,30,1,7,22,1,0,0
735760,21,2020,12,30,13,57,23,0,1,0
735841,33,2020,12,30,20,40,49,0,1,0
735817,31,2020,12,30,18,48,7,1,0,0
735722,20,2020,12,30,2,30,49,0,1,0
735813,43,2020,12,30,18,24,22,1,0,0
735749,30,2020,12,30,12,39,55,0,0,1
735845,32,2020,12,30,21,24,32,1,0,0
735734,43,2020,12,30,9,28,18,1,0,0
735766,66,2020,12,30,14,58,5,1,0,0
735773,23,2020,12,30,15,17,5,1,0,0
735785,32,2020,12,30,16,25,8,1,0,0
735713,24,2020,12,30,0,12,22,1,0,0
735770,39,2020,12,30,15,8,9,1,0,0
735738,33,2020,12,30,10,18,56,1,0,0
735777,25,2020,12,30,15,55,20,0,0,1
735781,32,2020,12,30,16,8,10,0,1,0
735801,21,2020,12,30,17,45,1,0,0,1
735741,43,2020,12,30,10,48,28,0,1,0
735775,38,2020,12,30,15,21,34,0,1,0
735742,36,2020,12,30,10,54,26,0,1,0
735762,51,2020,12,30,14,25,46,0,0,1
735709,33,2020,12,30,0,1,0,0,1,0
