ID_usuario,edad_usuario,año_alta,mes_alta,dia_alta,hora_alta_h,hora_alta_m,hora_alta_s,genero_FEMALE,genero_MALE,genero_OTHER
822795,39,2021,12,31,16,23,23,1,0,0
822777,20,2021,12,31,14,54,28,0,1,0
822752,26,2021,12,31,12,25,0,1,0,0
822764,22,2021,12,31,13,19,27,0,1,0
822707,31,2021,12,31,1,55,9,0,1,0
822745,24,2021,12,31,11,43,4,1,0,0
822727,33,2021,12,31,10,6,24,0,1,0
822719,36,2021,12,31,8,13,48,1,0,0
822836,21,2021,12,31,21,1,14,1,0,0
822842,20,2021,12,31,22,39,13,0,1,0
822710,22,2021,12,31,2,2,24,1,0,0
822730,57,2021,12,31,10,16,59,1,0,0
822736,20,2021,12,31,11,22,0,0,1,0
822841,23,2021,12,31,22,35,17,1,0,0
822742,28,2021,12,31,11,33,37,0,0,1
822828,22,2021,12,31,20,0,8,0,1,0
822845,20,2021,12,31,23,21,57,1,0,0
822768,31,2021,12,31,13,46,43,0,1,0
822824,33,2021,12,31,19,33,46,0,1,0
822724,39,2021,12,31,9,22,17,1,0,0
822809,30,2021,12,31,17,23,21,0,0,1
822718,24,2021,12,31,8,12,25,1,0,0
822701,31,2021,12,31,0,42,6,1,0,0
822798,35,2021,12,31,16,29,0,0,0,1
822740,29,2021,12,31,11,30,28,1,0,0
822776,40,2021,12,31,14,53,19,0,1,0
822698,56,2021,12,31,0,21,13,1,0,0
822711,22,2021,12,31,2,7,28,0,1,0
822807,30,2021,12,31,17,13,16,0,1,0
822753,36,2021,12,31,12,29,5,0,0,1
822769,28,2021,12,31,14,9,47,0,0,1
822761,25,2021,12,31,13,7,25,0,0,1
822827,30,2021,12,31,19,56,1,0,1,0
822823,19,2021,12,31,19,27,38,0,1,0
822739,32,2021,12,31,11,29,35,0,0,1
822757,31,2021,12,31,12,41,22,0,0,1
822825,25,2021,12,31,19,42,17,1,0,0
822712,26,2021,12,31,2,46,48,0,1,0
822725,43,2021,12,31,9,24,41,0,1,0
822787,68,2021,12,31,15,56,38,0,1,0
822844,33,2021,12,31,22,59,34,0,1,0
822728,25,2021,12,31,10,6,56,1,0,0
822702,23,2021,12,31,1,7,32,0,1,0
822770,27,2021,12,31,14,19,21,0,1,0
822771,37,2021,12,31,14,19,26,0,0,1
822704,20,2021,12,31,1,13,37,0,1,0
822843,28,2021,12,31,22,56,4,0,1,0
822744,19,2021,12,31,11,42,39,1,0,0
822804,27,2021,12,31,16,51,11,0,0,1
822721,26,2021,12,31,8,26,36,0,1,0
822699,24,2021,12,31,0,32,7,0,1,0
