ID_usuario,edad_usuario,año_alta,mes_alta,dia_alta,hora_alta_h,hora_alta_m,hora_alta_s,genero_FEMALE,genero_MALE,genero_OTHER
162766,32,26,4,18,5,55,0,1,0,0
243406,30,13,7,18,5,56,18,1,0,0
244163,23,13,3,18,5,54,16,1,0,0
592616,25,15,8,18,5,56,51,1,0,0
592618,26,15,8,18,5,56,51,1,0,0
592621,51,15,8,18,5,56,51,1,0,0
592624,23,15,8,18,5,56,51,1,0,0
592627,23,15,8,18,5,56,51,1,0,0
592629,26,15,8,18,5,56,51,1,0,0
592630,28,15,8,18,5,56,51,0,1,0
592631,66,15,8,18,5,56,51,0,1,0
592635,19,15,8,18,5,56,51,0,1,0
592637,43,15,8,18,5,56,51,1,0,0
592639,25,15,8,18,5,56,51,1,0,0
592641,22,3,9,18,5,57,10,1,0,0
592644,55,3,9,18,5,57,10,0,1,0
592646,55,15,8,18,5,56,51,0,1,0
592647,43,15,8,18,5,56,51,1,0,0
592648,28,15,8,18,5,56,51,1,0,0
592651,31,4,10,18,5,57,41,1,0,0
592655,37,15,8,18,5,56,51,1,0,0
592656,46,16,8,18,5,56,52,0,1,0
592658,19,31,8,18,5,57,7,1,0,0
592660,28,15,8,18,5,56,51,1,0,0
592661,44,15,8,18,5,56,51,0,1,0
593349,20,16,8,18,5,56,52,1,0,0
593351,27,16,8,18,5,56,52,1,0,0
593353,16,16,8,18,5,56,52,0,1,0
593354,31,17,8,18,5,56,53,1,0,0
593355,36,16,8,18,5,56,52,1,0,0
593356,57,16,8,18,5,56,52,1,0,0
593358,22,16,8,18,5,56,52,0,1,0
593360,29,17,8,18,5,56,53,0,1,0
593361,50,16,8,18,5,56,52,1,0,0
593362,21,16,8,18,5,56,52,1,0,0
593363,37,16,8,18,5,56,52,1,0,0
593365,53,16,8,18,5,56,52,0,1,0
593366,26,16,8,18,5,56,52,0,1,0
593367,17,16,8,18,5,56,52,1,0,0
593368,35,5,9,18,5,57,12,1,0,0
593369,24,12,10,18,5,57,49,1,0,0
593370,23,16,8,18,5,56,52,0,1,0
593371,19,30,8,18,5,57,6,0,1,0
593376,32,16,8,18,5,56,52,1,0,0
593377,47,23,8,18,5,56,59,0,1,0
593378,20,16,8,18,5,56,52,1,0,0
593379,24,17,9,18,5,57,24,1,0,0
593384,21,16,8,18,5,56,52,0,1,0
593386,21,21,8,18,5,56,57,0,1,0
593387,34,26,8,18,5,57,2,0,1,0
593390,27,16,8,18,5,56,52,1,0,0
529892,37,4,4,18,5,54,38,1,0,0
529893,37,8,4,18,5,54,42,1,0,0
529894,23,4,4,18,5,54,38,1,0,0
529896,38,4,4,18,5,54,38,1,0,0
529898,26,29,3,18,5,54,32,1,0,0
529903,22,4,4,18,5,54,38,1,0,0
529904,35,9,11,18,5,58,17,0,1,0
529907,55,29,3,18,5,54,32,1,0,0
529910,21,5,10,18,5,57,42,1,0,0
529914,28,29,3,18,5,54,32,0,1,0
529919,49,6,4,18,5,54,40,0,1,0
529924,48,11,4,18,5,54,45,1,0,0
529934,32,4,4,18,5,54,38,1,0,0
529936,36,6,4,18,5,54,40,1,0,0
529938,23,6,4,18,5,54,40,0,1,0
529941,29,4,5,18,5,55,8,1,0,0
530943,26,4,4,18,5,54,38,1,0,0
530955,59,7,4,18,5,54,41,0,1,0
530956,16,31,3,18,5,54,34,0,1,0
530958,20,31,3,18,5,54,34,0,1,0
531005,43,5,4,18,5,54,39,0,1,0
531090,24,3,4,18,5,54,37,1,0,0
531105,25,31,3,18,5,54,34,1,0,0
531106,24,1,4,18,5,54,35,1,0,0
531111,31,31,3,18,5,54,34,1,0,0
531112,25,31,3,18,5,54,34,0,1,0
531117,23,1,4,18,5,54,35,1,0,0
531130,21,31,3,18,5,54,34,1,0,0
531132,37,2,6,18,5,55,37,1,0,0
531140,43,4,4,18,5,54,38,0,1,0
531141,44,4,4,18,5,54,38,0,1,0
531142,31,11,4,18,5,54,45,0,1,0
532214,39,4,4,18,5,54,38,1,0,0
532215,20,6,4,18,5,54,40,1,0,0
532222,23,3,4,18,5,54,37,0,1,0
532230,25,3,4,18,5,54,37,0,1,0
532233,21,3,4,18,5,54,37,0,1,0
532237,34,4,4,18,5,54,38,0,1,0
532241,32,21,11,18,5,58,29,1,0,0
532242,45,3,4,18,5,54,37,1,0,0
532246,66,4,4,18,5,54,38,0,1,0
532251,16,13,4,18,5,54,47,0,1,0
532252,27,3,4,18,5,54,37,0,1,0
532254,44,3,4,18,5,54,37,0,1,0
532256,22,3,4,18,5,54,37,0,1,0
532258,55,3,4,18,5,54,37,0,1,0
532259,21,20,8,18,5,56,56,1,0,0
365826,40,5,7,18,5,56,10,1,0,0
244212,45,22,5,18,5,55,26,0,1,0
592663,32,15,8,18,5,56,51,0,1,0
592666,26,15,8,18,5,56,51,1,0,0
592667,24,15,8,18,5,56,51,0,1,0
592670,26,16,8,18,5,56,52,0,1,0
592673,21,15,8,18,5,56,51,0,1,0
592674,25,15,8,18,5,56,51,0,1,0
592675,34,29,8,18,5,57,5,1,0,0
592677,57,15,8,18,5,56,51,1,0,0
592678,33,16,8,18,5,56,52,0,1,0
592679,28,15,8,18,5,56,51,0,1,0
592683,26,22,8,18,5,56,58,1,0,0
592684,25,15,8,18,5,56,51,1,0,0
592685,27,16,8,18,5,56,52,0,1,0
592686,31,15,8,18,5,56,51,1,0,0
592688,20,15,8,18,5,56,51,1,0,0
592689,25,15,8,18,5,56,51,1,0,0
592699,28,22,8,18,5,56,58,0,1,0
592703,21,24,8,18,5,57,0,0,1,0
592704,57,15,8,18,5,56,51,1,0,0
593391,33,16,8,18,5,56,52,1,0,0
593394,20,16,8,18,5,56,52,1,0,0
593398,21,16,8,18,5,56,52,0,1,0
593399,30,31,8,18,5,57,7,1,0,0
593401,22,16,8,18,5,56,52,0,1,0
593407,54,16,8,18,5,56,52,0,1,0
593408,22,16,8,18,5,56,52,0,1,0
593410,21,16,8,18,5,56,52,0,1,0
593412,24,16,8,18,5,56,52,1,0,0
593415,29,21,8,18,5,56,57,1,0,0
593417,21,16,8,18,5,56,52,1,0,0
593418,42,17,8,18,5,56,53,0,1,0
593419,18,16,8,18,5,56,52,1,0,0
593422,30,17,8,18,5,56,53,1,0,0
593424,21,16,8,18,5,56,52,0,1,0
593427,25,16,8,18,5,56,52,1,0,0
593429,57,17,8,18,5,56,53,1,0,0
593431,30,16,8,18,5,56,52,1,0,0
593433,44,26,8,18,5,57,2,0,1,0
593435,24,16,8,18,5,56,52,0,1,0
593436,47,17,8,18,5,56,53,1,0,0
593439,29,24,8,18,5,57,0,1,0,0
593440,24,16,8,18,5,56,52,0,1,0
529948,36,4,4,18,5,54,38,0,1,0
529949,51,4,4,18,5,54,38,1,0,0
529951,30,29,3,18,5,54,32,1,0,0
529953,26,6,4,18,5,54,40,1,0,0
529961,21,29,3,18,5,54,32,1,0,0
529981,30,29,3,18,5,54,32,0,1,0
529983,30,4,5,18,5,55,8,0,1,0
529984,57,13,4,18,5,54,47,0,1,0
529985,20,29,3,18,5,54,32,1,0,0
529986,20,5,4,18,5,54,39,1,0,0
529989,33,6,4,18,5,54,40,0,1,0
529990,33,29,3,18,5,54,32,0,1,0
530007,26,29,3,18,5,54,32,1,0,0
530012,53,6,4,18,5,54,40,0,1,0
531155,57,10,4,18,5,54,44,0,1,0
531157,28,5,4,18,5,54,39,1,0,0
531170,33,1,4,18,5,54,35,1,0,0
531172,27,7,4,18,5,54,41,1,0,0
531179,33,1,4,18,5,54,35,0,1,0
531198,24,6,4,18,5,54,40,1,0,0
531199,28,4,5,18,5,55,8,1,0,0
531200,29,13,4,18,5,54,47,0,1,0
531205,19,8,4,18,5,54,42,0,1,0
531206,29,19,5,18,5,55,23,0,1,0
