ID_usuario,edad_usuario,año_alta,mes_alta,dia_alta,hora_alta_h,hora_alta_m,hora_alta_s,genero_FEMALE,genero_MALE,genero_OTHER
223858,41,1,1,16,3,45,19,0,1,0
223873,35,1,1,16,12,36,42,0,1,0
223874,47,1,1,16,12,45,44,0,1,0
223875,42,1,1,16,12,54,44,1,0,0
223876,49,1,1,16,12,58,38,0,1,0
223886,29,1,1,16,14,5,52,0,1,0
223887,26,1,1,16,14,13,47,1,0,0
223890,41,1,1,16,14,20,23,1,0,0
223896,38,1,1,16,14,55,59,1,0,0
223902,23,1,1,16,15,45,41,1,0,0
223905,26,1,1,16,16,12,0,1,0,0
223907,23,1,1,16,16,14,12,0,1,0
223909,36,1,1,16,16,31,40,0,1,0
223914,32,1,1,16,17,48,43,0,1,0
223916,27,1,1,16,17,56,40,1,0,0
223917,53,1,1,16,18,1,37,0,1,0
223918,20,1,1,16,18,4,21,1,0,0
223925,23,1,1,16,19,59,13,0,1,0
223928,36,1,1,16,20,32,10,1,0,0
223936,22,1,1,16,21,46,27,0,1,0
223938,40,1,1,16,21,50,1,0,1,0
223949,44,1,1,16,23,49,51,1,0,0
223954,25,2,1,16,1,37,43,0,1,0
223959,23,2,1,16,2,53,33,1,0,0
223960,29,2,1,16,3,56,23,0,1,0
223961,34,2,1,16,6,36,44,1,0,0
223962,60,2,1,16,9,26,14,1,0,0
223964,43,2,1,16,10,12,29,0,1,0
223965,62,2,1,16,10,22,53,1,0,0
223972,33,2,1,16,10,57,12,0,1,0
223974,35,2,1,16,11,8,23,0,1,0
223975,33,2,1,16,11,8,50,0,1,0
223979,29,2,1,16,11,22,19,0,1,0
223981,29,2,1,16,11,27,42,1,0,0
223982,46,2,1,16,11,30,55,1,0,0
223983,33,2,1,16,11,33,52,1,0,0
223985,60,2,1,16,11,45,5,1,0,0
223989,41,2,1,16,11,54,43,0,1,0
223991,37,2,1,16,12,10,14,1,0,0
223993,59,2,1,16,12,19,50,0,1,0
224001,70,2,1,16,12,39,15,0,1,0
224007,27,2,1,16,12,52,21,0,1,0
224008,33,2,1,16,12,52,54,0,1,0
224009,27,2,1,16,12,57,47,1,0,0
224013,32,2,1,16,13,4,55,1,0,0
224014,37,2,1,16,13,6,20,1,0,0
224016,37,2,1,16,13,15,23,1,0,0
224021,24,2,1,16,13,27,28,1,0,0
224023,29,2,1,16,13,34,26,0,1,0
224027,32,2,1,16,13,43,28,1,0,0
224028,23,2,1,16,13,47,52,1,0,0
224031,42,2,1,16,13,59,16,1,0,0
224033,39,2,1,16,14,9,9,0,1,0
224040,39,2,1,16,14,29,31,0,1,0
224041,17,2,1,16,14,34,47,0,1,0
224048,27,2,1,16,15,8,30,0,1,0
224049,30,2,1,16,15,15,50,1,0,0
224051,32,2,1,16,15,19,56,0,1,0
224053,27,2,1,16,15,29,36,0,1,0
224060,30,2,1,16,16,5,46,1,0,0
224063,37,2,1,16,16,33,39,1,0,0
224080,64,2,1,16,18,45,0,1,0,0
224082,30,2,1,16,19,20,21,1,0,0
224088,44,2,1,16,19,53,12,1,0,0
224090,50,2,1,16,20,28,57,0,1,0
224096,22,2,1,16,22,31,43,1,0,0
224100,20,3,1,16,0,10,8,1,0,0
224102,28,3,1,16,0,32,43,0,1,0
224109,22,3,1,16,1,39,44,0,1,0
224124,32,3,1,16,10,55,22,1,0,0
224126,32,3,1,16,11,13,44,1,0,0
224128,36,3,1,16,11,26,40,1,0,0
224129,29,3,1,16,11,35,9,1,0,0
224131,32,3,1,16,11,50,0,0,1,0
224132,40,3,1,16,11,57,22,0,1,0
224146,26,3,1,16,13,30,11,0,1,0
224149,30,3,1,16,13,59,34,1,0,0
224154,33,3,1,16,14,24,14,0,1,0
224155,27,3,1,16,14,34,11,0,1,0
224160,27,3,1,16,14,54,11,0,1,0
224166,29,3,1,16,15,17,10,0,1,0
224170,26,3,1,16,15,33,19,0,1,0
224174,36,3,1,16,15,48,0,0,1,0
224182,27,3,1,16,16,29,27,1,0,0
224191,53,3,1,16,17,37,17,1,0,0
224197,30,3,1,16,18,35,8,1,0,0
224200,42,3,1,16,18,54,50,0,1,0
224207,60,3,1,16,19,35,41,1,0,0
224210,38,3,1,16,19,55,16,0,1,0
224213,44,3,1,16,20,21,52,0,1,0
224215,37,3,1,16,20,49,31,1,0,0
224218,33,3,1,16,21,24,43,0,1,0
224222,38,3,1,16,21,50,38,0,1,0
224226,54,3,1,16,23,21,56,0,1,0
224230,19,3,1,16,23,49,27,1,0,0
224231,23,3,1,16,23,49,35,0,1,0
224233,26,4,1,16,0,4,44,1,0,0
224236,25,4,1,16,0,52,53,1,0,0
224242,33,4,1,16,2,8,51,1,0,0
224250,29,4,1,16,9,9,17,1,0,0
224260,42,4,1,16,10,17,3,1,0,0
224261,30,4,1,16,10,32,5,1,0,0
224263,54,4,1,16,10,44,37,1,0,0
224265,60,4,1,16,10,49,35,0,1,0
224272,31,4,1,16,11,51,35,0,1,0
224275,27,4,1,16,11,55,52,1,0,0
224276,30,4,1,16,12,3,2,1,0,0
224281,54,4,1,16,12,39,53,1,0,0
224282,61,4,1,16,12,40,25,1,0,0
