ID_usuario,edad_usuario,año_alta,mes_alta,dia_alta,hora_alta_h,hora_alta_m,hora_alta_s,genero_FEMALE,genero_MALE,genero_OTHER
336112,21,1,1,17,1,32,11,0,1,0
336114,26,1,1,17,1,42,6,0,1,0
336119,40,1,1,17,3,6,4,1,0,0
336120,43,1,1,17,7,15,26,1,0,0
336141,58,1,1,17,11,53,37,1,0,0
336155,31,1,1,17,12,45,36,1,0,0
336157,35,1,1,17,12,57,42,0,1,0
336159,31,1,1,17,12,59,57,1,0,0
336170,32,1,1,17,13,39,28,1,0,0
336172,39,1,1,17,13,43,54,0,1,0
336193,26,1,1,17,15,20,52,1,0,0
336196,19,1,1,17,15,33,28,0,1,0
336197,36,1,1,17,15,34,52,0,1,0
336199,42,1,1,17,15,43,15,1,0,0
336215,43,1,1,17,16,45,7,0,1,0
336224,62,1,1,17,17,8,26,1,0,0
336230,59,1,1,17,17,32,10,0,1,0
336233,39,1,1,17,17,57,15,1,0,0
336247,48,1,1,17,18,26,42,0,1,0
336248,29,1,1,17,18,33,33,1,0,0
336260,42,1,1,17,19,9,52,1,0,0
336266,55,1,1,17,19,34,46,1,0,0
336271,24,1,1,17,19,44,39,1,0,0
336272,28,1,1,17,19,44,52,1,0,0
336277,31,1,1,17,19,53,46,0,1,0
336281,18,1,1,17,20,3,53,0,1,0
336282,32,1,1,17,20,7,51,0,1,0
336284,23,1,1,17,20,11,6,1,0,0
336296,31,1,1,17,20,58,40,0,1,0
336299,21,1,1,17,21,9,50,1,0,0
336302,60,1,1,17,21,29,23,0,1,0
336303,26,1,1,17,21,31,30,1,0,0
336306,19,1,1,17,21,50,45,1,0,0
336309,23,1,1,17,21,57,12,1,0,0
336313,68,1,1,17,22,11,5,1,0,0
336321,20,1,1,17,22,52,56,0,1,0
336322,37,1,1,17,23,4,18,0,1,0
336325,37,1,1,17,23,6,48,1,0,0
336326,34,1,1,17,23,14,52,0,1,0
336336,26,1,1,17,23,59,19,1,0,0
336345,40,2,1,17,1,51,53,0,1,0
336346,22,2,1,17,1,58,54,0,1,0
336348,19,2,1,17,2,41,48,1,0,0
336355,49,2,1,17,4,55,14,1,0,0
336362,30,2,1,17,8,17,14,1,0,0
336363,50,2,1,17,8,22,31,0,1,0
336367,21,2,1,17,8,39,35,0,1,0
336370,28,2,1,17,8,55,51,0,1,0
336371,47,2,1,17,9,14,23,1,0,0
336378,24,2,1,17,9,43,47,0,1,0
336379,20,2,1,17,9,45,20,1,0,0
336380,40,2,1,17,9,45,59,1,0,0
336381,66,2,1,17,9,50,40,1,0,0
336388,30,2,1,17,10,7,28,1,0,0
336395,45,2,1,17,10,18,51,0,1,0
336396,40,2,1,17,10,21,44,0,1,0
336397,29,2,1,17,10,24,9,1,0,0
336399,24,2,1,17,10,28,19,1,0,0
336400,62,2,1,17,10,31,50,1,0,0
336404,31,2,1,17,10,40,36,0,1,0
336406,56,2,1,17,10,42,7,0,1,0
336413,58,2,1,17,10,56,7,0,1,0
336414,45,2,1,17,10,58,57,0,1,0
336421,30,2,1,17,11,16,54,0,1,0
336422,30,2,1,17,11,21,41,1,0,0
336424,38,2,1,17,11,22,26,1,0,0
336427,35,2,1,17,11,30,2,0,1,0
336429,28,2,1,17,11,31,13,0,1,0
336436,27,2,1,17,11,37,51,0,1,0
336437,26,2,1,17,11,40,44,1,0,0
336444,26,2,1,17,11,55,32,0,1,0
336445,48,2,1,17,11,58,56,0,1,0
336451,34,2,1,17,12,2,12,0,1,0
336452,27,2,1,17,12,5,38,1,0,0
336455,29,2,1,17,12,13,44,0,1,0
336457,52,2,1,17,12,16,54,0,1,0
336458,46,2,1,17,12,18,41,1,0,0
336459,29,2,1,17,12,22,13,1,0,0
336463,23,2,1,17,12,27,16,0,1,0
336465,30,2,1,17,12,29,39,0,1,0
336466,53,2,1,17,12,29,55,0,1,0
336467,49,2,1,17,12,30,57,0,1,0
336468,26,2,1,17,12,43,27,1,0,0
336471,23,2,1,17,12,48,26,1,0,0
336472,28,2,1,17,12,48,41,1,0,0
336473,23,2,1,17,12,51,19,0,1,0
336476,26,2,1,17,12,56,15,1,0,0
336477,21,2,1,17,12,59,36,1,0,0
336478,23,2,1,17,13,1,5,1,0,0
336479,29,2,1,17,13,1,12,1,0,0
336480,37,2,1,17,13,1,16,0,1,0
336481,36,2,1,17,13,2,20,0,1,0
336483,19,2,1,17,13,3,12,0,1,0
336486,30,2,1,17,13,7,11,0,1,0
336488,60,2,1,17,13,12,20,0,1,0
336490,34,2,1,17,13,12,51,1,0,0
336491,37,2,1,17,13,14,30,1,0,0
336492,52,2,1,17,13,14,40,0,1,0
336494,28,2,1,17,13,19,32,0,1,0
336495,25,2,1,17,13,21,40,1,0,0
336498,32,2,1,17,13,27,23,0,1,0
336500,42,2,1,17,13,29,24,0,1,0
336501,30,2,1,17,13,31,59,1,0,0
336503,35,2,1,17,13,34,34,1,0,0
336507,35,2,1,17,13,38,28,1,0,0
336510,32,2,1,17,13,44,50,1,0,0
336512,26,2,1,17,13,46,32,0,1,0
336513,25,2,1,17,13,46,34,1,0,0
336514,21,2,1,17,13,48,35,1,0,0
336522,32,2,1,17,13,57,50,0,1,0
336525,31,2,1,17,14,1,0,1,0,0
336526,38,2,1,17,14,3,43,0,1,0
336529,39,2,1,17,14,6,28,0,1,0
336530,31,2,1,17,14,8,34,0,1,0
336531,38,2,1,17,14,10,47,1,0,0
336532,39,2,1,17,14,12,0,0,1,0
336534,72,2,1,17,14,13,42,1,0,0
336535,24,2,1,17,14,15,19,0,1,0
336536,26,2,1,17,14,17,3,1,0,0
336538,25,2,1,17,14,18,43,1,0,0
336539,72,2,1,17,14,21,13,0,1,0
336540,27,2,1,17,14,21,39,0,1,0
336542,34,2,1,17,14,24,38,0,1,0
336545,42,2,1,17,14,27,41,1,0,0
336548,34,2,1,17,14,30,41,0,1,0
336549,32,2,1,17,14,31,29,0,1,0
336553,30,2,1,17,14,38,58,1,0,0
336560,48,2,1,17,14,51,35,1,0,0
336580,30,2,1,17,15,25,43,0,1,0
336582,53,2,1,17,15,26,9,1,0,0
336583,49,2,1,17,15,29,5,1,0,0
336584,46,2,1,17,15,29,19,1,0,0
336585,58,2,1,17,15,32,47,1,0,0
336587,63,2,1,17,15,34,28,1,0,0
336589,25,2,1,17,15,43,6,1,0,0
336591,18,2,1,17,15,53,0,1,0,0
336595,19,2,1,17,15,56,29,1,0,0
336597,48,2,1,17,16,1,16,0,1,0
336599,23,2,1,17,16,19,27,0,1,0
336601,58,2,1,17,16,22,34,0,1,0
336603,20,2,1,17,16,27,15,1,0,0
336605,28,2,1,17,16,28,42,0,1,0
336606,23,2,1,17,16,30,46,1,0,0
336609,33,2,1,17,16,32,11,1,0,0
336610,20,2,1,17,16,34,24,1,0,0
336614,54,2,1,17,16,38,28,0,1,0
336616,63,2,1,17,16,42,2,1,0,0
336617,28,2,1,17,16,43,33,0,1,0
336621,24,2,1,17,16,47,5,0,1,0
336624,35,2,1,17,16,51,15,0,1,0
336626,35,2,1,17,16,51,53,0,1,0
336627,47,2,1,17,16,52,47,0,1,0
336629,41,2,1,17,16,57,56,1,0,0
336630,36,2,1,17,16,59,53,0,1,0
336631,39,2,1,17,17,4,45,0,1,0
336633,20,2,1,17,17,7,20,1,0,0
336634,64,2,1,17,17,9,16,0,1,0
336639,21,2,1,17,17,23,14,1,0,0
336642,44,2,1,17,17,23,46,0,1,0
336643,47,2,1,17,17,24,56,1,0,0
336645,30,2,1,17,17,28,48,1,0,0
336653,18,2,1,17,17,42,50,0,1,0
336660,39,2,1,17,17,48,39,0,1,0
336661,32,2,1,17,17,49,44,0,1,0
336663,37,2,1,17,17,50,49,1,0,0
336664,29,2,1,17,17,54,15,1,0,0
336666,17,2,1,17,17,56,46,0,1,0
336670,36,2,1,17,17,59,53,0,1,0
336679,44,2,1,17,18,16,53,0,1,0
336689,38,2,1,17,18,31,23,1,0,0
336698,21,2,1,17,18,50,10,1,0,0
336699,36,2,1,17,18,53,59,0,1,0
336702,23,2,1,17,19,1,3,0,1,0
336704,29,2,1,17,19,8,51,1,0,0
336705,60,2,1,17,19,8,57,0,1,0
336706,23,2,1,17,19,18,48,0,1,0
336707,40,2,1,17,19,19,49,0,1,0
336713,33,2,1,17,19,28,32,0,1,0
336714,36,2,1,17,19,28,44,0,1,0
336716,48,2,1,17,19,38,58,1,0,0
336723,52,2,1,17,20,2,41,1,0,0
336724,31,2,1,17,20,2,50,1,0,0
336725,31,2,1,17,20,5,49,0,1,0
336726,37,2,1,17,20,6,25,0,1,0
336730,21,2,1,17,20,18,28,1,0,0
336735,34,2,1,17,20,33,46,1,0,0
336737,47,2,1,17,20,41,57,1,0,0
336738,36,2,1,17,20,42,37,0,1,0
336740,34,2,1,17,20,47,4,0,1,0
336741,41,2,1,17,20,48,19,0,1,0
336744,52,2,1,17,21,3,29,1,0,0
336745,28,2,1,17,21,5,8,0,1,0
336751,19,2,1,17,21,40,29,0,1,0
336759,23,2,1,17,21,55,28,0,1,0
336762,19,2,1,17,21,56,43,0,1,0
336763,31,2,1,17,21,57,28,1,0,0
336764,61,2,1,17,22,3,49,1,0,0
336769,29,2,1,17,22,15,42,0,1,0
336772,30,2,1,17,22,19,41,1,0,0
336773,27,2,1,17,22,19,46,1,0,0
336776,64,2,1,17,22,24,25,0,1,0
336784,60,2,1,17,22,56,29,1,0,0
336787,27,2,1,17,23,11,0,1,0,0
336788,34,2,1,17,23,11,33,0,1,0
336790,35,2,1,17,23,16,15,0,1,0
336791,55,2,1,17,23,16,35,1,0,0
336793,26,2,1,17,23,19,11,0,1,0
336796,60,2,1,17,23,22,20,0,1,0
336798,47,2,1,17,23,31,8,0,1,0
336800,25,2,1,17,23,41,33,1,0,0
336801,18,2,1,17,23,43,59,1,0,0
336807,35,3,1,17,0,12,18,0,1,0
336815,27,3,1,17,0,35,37,0,1,0
336820,50,3,1,17,1,5,9,0,1,0
336822,28,3,1,17,1,16,16,1,0,0
336823,34,3,1,17,1,27,24,0,1,0
336824,59,3,1,17,1,29,28,0,1,0
336828,31,3,1,17,1,43,15,0,1,0
336831,31,3,1,17,2,53,30,1,0,0
336834,35,3,1,17,3,43,29,0,1,0
336835,28,3,1,17,6,23,58,1,0,0
336836,31,3,1,17,6,44,2,1,0,0
336839,46,3,1,17,7,11,12,0,1,0
336843,27,3,1,17,8,7,0,1,0,0
336846,29,3,1,17,8,36,13,0,1,0
336848,52,3,1,17,8,42,32,1,0,0
336855,38,3,1,17,9,3,12,0,1,0
336859,30,3,1,17,9,26,9,0,1,0
336860,56,3,1,17,9,27,47,1,0,0
336861,29,3,1,17,9,31,39,0,1,0
336867,20,3,1,17,9,48,54,1,0,0
336872,45,3,1,17,10,0,50,0,1,0
336873,35,3,1,17,10,1,48,0,1,0
336876,22,3,1,17,10,5,21,1,0,0
336878,29,3,1,17,10,9,19,0,1,0
336879,27,3,1,17,10,10,23,0,1,0
336882,35,3,1,17,10,16,11,0,1,0
336884,36,3,1,17,10,25,33,0,1,0
336885,37,3,1,17,10,31,58,1,0,0
336886,21,3,1,17,10,35,43,0,1,0
336889,29,3,1,17,10,43,44,0,1,0
336890,28,3,1,17,10,51,20,0,1,0
336895,46,3,1,17,10,56,6,1,0,0
336896,25,3,1,17,10,56,33,1,0,0
336897,53,3,1,17,11,1,56,1,0,0
336899,17,3,1,17,11,5,8,0,1,0
336900,61,3,1,17,11,7,18,1,0,0
336901,30,3,1,17,11,12,38,0,1,0
336902,23,3,1,17,11,16,31,0,1,0
336903,53,3,1,17,11,17,33,0,1,0
336905,27,3,1,17,11,26,23,0,1,0
336906,50,3,1,17,11,26,37,1,0,0
336907,36,3,1,17,11,26,57,0,1,0
336908,31,3,1,17,11,28,18,1,0,0
336909,49,3,1,17,11,31,41,0,1,0
336912,27,3,1,17,11,34,36,0,1,0
336913,33,3,1,17,11,38,5,0,1,0
336915,44,3,1,17,11,42,0,1,0,0
336917,53,3,1,17,11,43,45,0,1,0
336918,25,3,1,17,11,44,59,1,0,0
336920,48,3,1,17,11,47,15,1,0,0
336924,68,3,1,17,11,54,50,1,0,0
336925,26,3,1,17,11,56,3,1,0,0
336932,30,3,1,17,12,7,29,0,1,0
336933,70,3,1,17,12,8,51,0,1,0
336934,58,3,1,17,12,9,6,0,1,0
336935,49,3,1,17,12,10,38,1,0,0
336937,18,3,1,17,12,13,34,0,1,0
336938,20,3,1,17,12,16,4,0,1,0
336939,37,3,1,17,12,18,39,0,1,0
336941,33,3,1,17,12,22,13,0,1,0
336942,21,3,1,17,12,23,22,0,1,0
336945,22,3,1,17,12,35,29,1,0,0
336948,68,3,1,17,12,44,3,1,0,0
336949,24,3,1,17,12,44,59,0,1,0
336950,25,3,1,17,12,45,35,1,0,0
336951,51,3,1,17,12,47,14,1,0,0
336952,76,3,1,17,12,47,18,1,0,0
336955,18,3,1,17,12,50,55,1,0,0
336956,32,3,1,17,12,51,21,1,0,0
336959,29,3,1,17,13,2,35,0,1,0
336960,40,3,1,17,13,3,48,0,1,0
336961,30,3,1,17,13,5,39,0,1,0
336962,33,3,1,17,13,8,10,0,1,0
336963,43,3,1,17,13,8,10,1,0,0
336967,53,3,1,17,13,17,47,0,1,0
336968,42,3,1,17,13,21,48,1,0,0
336969,44,3,1,17,13,22,47,0,1,0
336972,47,3,1,17,13,26,47,1,0,0
336975,25,3,1,17,13,29,32,1,0,0
336976,24,3,1,17,13,31,9,0,1,0
336977,37,3,1,17,13,36,5,1,0,0
336981,26,3,1,17,13,38,34,0,1,0
336984,36,3,1,17,13,43,5,1,0,0
336985,30,3,1,17,13,44,10,0,1,0
336987,25,3,1,17,13,48,55,0,1,0
336989,23,3,1,17,13,52,18,0,1,0
336991,20,3,1,17,14,2,24,0,1,0
336992,31,3,1,17,14,2,55,0,1,0
336994,24,3,1,17,14,7,2,0,1,0
336995,51,3,1,17,14,8,3,0,1,0
336999,20,3,1,17,14,22,23,1,0,0
337002,24,3,1,17,14,28,46,1,0,0
337004,37,3,1,17,14,31,2,1,0,0
337005,43,3,1,17,14,31,33,0,1,0
337006,57,3,1,17,14,34,42,1,0,0
337007,33,3,1,17,14,42,13,1,0,0
337008,36,3,1,17,14,44,45,1,0,0
337010,30,3,1,17,14,47,17,1,0,0
337012,35,3,1,17,14,49,13,0,1,0
337013,20,3,1,17,14,54,45,1,0,0
337014,31,3,1,17,14,55,30,0,1,0
337015,50,3,1,17,14,56,24,1,0,0
337017,44,3,1,17,15,1,59,1,0,0
337018,31,3,1,17,15,2,20,0,1,0
337019,25,3,1,17,15,5,33,0,1,0
337021,28,3,1,17,15,7,33,1,0,0
337023,39,3,1,17,15,9,50,1,0,0
337024,18,3,1,17,15,12,56,0,1,0
337025,26,3,1,17,15,12,57,1,0,0
337028,47,3,1,17,15,25,45,0,1,0
337030,33,3,1,17,15,27,57,0,1,0
337031,22,3,1,17,15,31,46,0,1,0
337032,27,3,1,17,15,33,12,1,0,0
337034,37,3,1,17,15,34,32,0,1,0
337035,20,3,1,17,15,36,39,0,1,0
337036,54,3,1,17,15,37,6,1,0,0
337037,34,3,1,17,15,39,0,0,1,0
337039,46,3,1,17,15,41,32,0,1,0
337040,21,3,1,17,15,41,36,0,1,0
337041,22,3,1,17,15,42,30,0,1,0
337042,37,3,1,17,15,50,2,0,1,0
337043,32,3,1,17,16,2,5,1,0,0
337045,26,3,1,17,16,21,54,0,1,0
337051,28,3,1,17,16,24,53,0,1,0
337054,38,3,1,17,16,30,12,0,1,0
337056,28,3,1,17,16,36,1,1,0,0
337060,46,3,1,17,16,45,17,0,1,0
337061,36,3,1,17,16,59,15,1,0,0
337062,32,3,1,17,16,59,55,1,0,0
337064,43,3,1,17,17,3,10,0,1,0
337065,19,3,1,17,17,7,51,0,1,0
337066,28,3,1,17,17,11,2,0,1,0
337067,26,3,1,17,17,15,53,1,0,0
337069,38,3,1,17,17,22,48,1,0,0
337070,34,3,1,17,17,23,42,1,0,0
337072,45,3,1,17,17,25,20,0,1,0
337078,30,3,1,17,17,35,53,0,1,0
337079,64,3,1,17,17,38,0,0,1,0
337081,34,3,1,17,17,40,56,0,1,0
337082,23,3,1,17,17,46,36,0,1,0
337084,31,3,1,17,17,56,40,0,1,0
