ID_usuario,edad_usuario,año_alta,mes_alta,dia_alta,hora_alta_h,hora_alta_m,hora_alta_s,genero_FEMALE,genero_MALE,genero_OTHER
627966,36,2019,12,31,10,46,10,0,0,1
628268,43,2019,12,31,18,54,57,0,1,0
627943,47,2019,12,31,10,18,36,0,1,0
628047,45,2019,12,31,12,38,14,0,1,0
627929,37,2019,12,31,9,46,5,0,0,1
627920,23,2019,12,31,9,34,47,0,1,0
628140,28,2019,12,31,15,18,15,0,0,1
628254,31,2019,12,31,18,33,56,0,1,0
628007,43,2019,12,31,11,44,8,0,0,1
628031,80,2019,12,31,12,13,42,0,0,1
627939,36,2019,12,31,10,12,48,0,1,0
627928,36,2019,12,31,9,46,5,0,1,0
627969,23,2019,12,31,10,48,48,1,0,0
628275,31,2019,12,31,19,11,56,0,1,0
628187,41,2019,12,31,16,32,30,1,0,0
628013,65,2019,12,31,11,50,25,1,0,0
627906,41,2019,12,31,9,6,12,0,1,0
628042,25,2019,12,31,12,33,33,1,0,0
628176,29,2019,12,31,16,10,34,0,0,1
628263,30,2019,12,31,18,48,20,0,1,0
628009,39,2019,12,31,11,44,33,1,0,0
628002,56,2019,12,31,11,38,59,1,0,0
628270,35,2019,12,31,18,58,43,1,0,0
628156,45,2019,12,31,15,35,48,1,0,0
628215,38,2019,12,31,17,15,6,0,0,1
627884,32,2019,12,31,5,59,28,0,1,0
628158,38,2019,12,31,15,37,53,1,0,0
628194,34,2019,12,31,16,43,26,0,1,0
628039,48,2019,12,31,12,30,28,1,0,0
628117,34,2019,12,31,14,37,11,0,1,0
628326,23,2019,12,31,21,30,10,1,0,0
627938,23,2019,12,31,10,12,16,1,0,0
628342,24,2019,12,31,22,52,18,0,0,1
627993,29,2019,12,31,11,28,29,1,0,0
628319,58,2019,12,31,20,47,58,0,1,0
628114,25,2019,12,31,14,31,8,0,1,0
628097,30,2019,12,31,13,54,26,0,0,1
628186,34,2019,12,31,16,28,4,0,1,0
628067,32,2019,12,31,13,6,43,0,1,0
628309,48,2019,12,31,20,26,33,0,0,1
628227,52,2019,12,31,17,33,34,0,1,0
628225,55,2019,12,31,17,28,48,1,0,0
628141,33,2019,12,31,15,21,29,0,0,1
627956,46,2019,12,31,10,33,41,0,1,0
628053,32,2019,12,31,12,48,12,0,0,1
627940,31,2019,12,31,10,13,16,0,1,0
628357,22,2019,12,31,23,34,31,0,1,0
628107,29,2019,12,31,14,21,25,0,1,0
627900,27,2019,12,31,8,48,50,0,0,1
627856,30,2019,12,31,0,16,20,0,0,1
628188,36,2019,12,31,16,32,56,0,1,0
628137,55,2019,12,31,15,15,1,1,0,0
627819,41,2019,12,30,21,1,6,0,0,1
627553,39,2019,12,30,9,17,37,0,1,0
627563,27,2019,12,30,9,41,28,0,1,0
627658,45,2019,12,30,13,12,11,0,1,0
627796,31,2019,12,30,19,48,51,1,0,0
627767,51,2019,12,30,18,17,33,1,0,0
627784,35,2019,12,30,19,17,15,0,0,1
627794,42,2019,12,30,19,41,41,0,1,0
627595,22,2019,12,30,10,53,51,1,0,0
627670,32,2019,12,30,13,58,7,1,0,0
627774,30,2019,12,30,18,42,33,0,1,0
627558,44,2019,12,30,9,25,19,0,1,0
627815,34,2019,12,30,20,40,34,1,0,0
627638,34,2019,12,30,12,7,11,0,1,0
627669,48,2019,12,30,13,46,37,1,0,0
627576,34,2019,12,30,10,18,56,0,1,0
